date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,perc_diff_price_ma7,perc_diff_price_ma21,perc_diff_price_upper_band,perc_diff_price_lower_band
2019-01-17,37.8365,37.13584,37.624218,36.98539748694208,37.04097617776737,0.055578690825292654,1.0882698703985083,39.80075774079702,35.44767825920298,37.71809913768183,36.8365,3.606489201444923,1.8518097604165267,0.5610508371546042,-5.1914361550275965,6.313537829336805
2019-01-18,38.3365,37.33729,37.613002,37.085479154576,37.24028753503393,0.15480838045792922,1.1814433357801384,39.97588867156028,35.250115328439726,38.130366379227276,37.3365,3.6199714004584225,2.606419469695976,1.8872301853325142,-4.2763128390966205,8.05077320976165
2019-01-22,37.7951,37.45912,37.586578,37.138043661644446,37.325643298874866,0.18759963723042006,1.1989459630843053,39.984469926168615,35.18868607383139,37.906855459742424,36.7951,3.6053646841354343,0.8889512132525097,0.5517170215186492,-5.792734841735084,6.896168884772383
2019-01-23,37.8783,37.55375,37.556855999999996,37.1928774644856,37.410667406740274,0.21778994225467585,1.1551965180282475,39.86724903605649,35.2464629639435,37.88781848658081,36.8783,3.6076233021812802,0.8568230358807076,0.8486230902654203,-5.250893086692088,6.948139267222929
2019-01-24,37.9309,37.63734,37.51148,37.24754580044963,37.4907031903187,0.24315738986906865,0.9592596478542426,39.429999295708484,35.592960704291514,37.91653949552694,36.9309,3.609048598998062,0.7739336530374955,1.1057475567413437,-3.952184882796039,6.163679996278726
2019-01-25,38.2549,37.73657,37.474184,37.322164630045954,37.608271930269666,0.286107300223712,0.9418520131837584,39.35788802636752,35.59047997363248,38.14211316517565,37.2549,3.617783479798626,1.3549375374135049,2.04082614253337,-2.8832594683753445,6.964911753442084
2019-01-28,37.9545,37.8063,37.438132,37.36900428707958,37.661537787151254,0.29253350007167,0.9115548518885012,39.261241703777,35.615022296223,38.01703772172522,36.9545,3.6096874261764382,0.3904675334940594,1.3604921682540934,-3.4429163966776004,6.163900733185788
2019-01-29,37.9001,37.88977,37.41777,37.40834471025887,37.698239666051066,0.2898949557921924,0.8586153866615743,39.13500077332315,35.700539226676845,37.939079240575076,36.9001,3.6082142610699095,0.027255864760259946,1.272635164551029,-3.2583047889666448,5.803575118068703
2019-01-30,38.4938,37.99282,37.414989999999996,37.488748805795254,37.820633563581666,0.3318847577864119,0.848545702938372,39.11208140587674,35.717898594123255,38.308893080191694,37.4938,3.6241755859739695,1.3014563384233264,2.8025552166842562,-1.606184387815015,7.211294821183527
2019-01-31,38.8329,38.12135,37.410542,37.58831556092153,37.97636686149218,0.38805130057065185,0.8474707750753235,39.105483550150645,35.715600449849354,38.65823102673057,37.8329,3.6331790944432596,1.8323380432571417,3.6627653355788587,-0.7019397216036979,8.027470392761415
